pid,cond,condLabel,dv,dv_binary,FreeResponse,Duration,ResponseId,God,Intuition,ScienceBelief,ScienceBelief_Reverse,Sex,SexBinary1Male,Race/Ethnicity,RaceBinary1White,Age,AgeBinary1Old,Education,EducationBinary1Degree,Income,IncomeBinary1HighInc,IntuitionScore_ByHand,RepeatTurkerLabelCode
50,ABS,6181Short,2,1,"The  reason I think it is inappropriate is that it does not make sense and is pointless because the data will be skewed. 61-80 in the same way is similar not ""opposites"". Also,it does not state that he asked these people their permission to do this.",,R_3Gwk9k8XhFVu2Pp,1,1,5,1,1,1,3,1,32,0,3,0,3,0,3,0
53,ABS,6181Short,5,0,This is a good idea. It lets people meet different groups.  It would be nice to be given the choice which group to be in,,R_809Ma6LuQS6yR7X,5,4,4,2,2,0,3,1,38,1,3,0,4,1,11,0
57,ABS,6181Short,2,1,oppsites really don't attract trust me. i have more luck with people that are like me.,,R_2PoHHWDIo5UMbxV,3,4,4,2,1,1,"1,3",0,31,0,4,1,2,0,9,0
59,ABS,6181Short,2,1,It's an interesting experiment but the people who are stuck with incompatible matches might be more prone to experience unpleasant situations. He should run a pilot and recruit people who would be aware of the testing and to be part of it.,,R_1pYl045J7zGdHcn,3,3,3,3,2,0,2,0,32,0,3,0,3,0,9,1
64,ABS,6181Short,4,0,"Could be a good idea to mix things up. If it doesn't work, just change it back.",,R_6g87jsWQglXTfMt,3,3,4,2,1,1,3,1,53,1,2,0,2,0,8,0
66,ABS,6181Short,5,0,"I think it's appropriate because he doesn't know which people will be better off, and it will lead to better matches for everyone in the future. Everyone has a fair chance in this system.",,R_3dYWshOYDHYC46C,1,1,5,1,2,0,3,1,25,0,4,1,1,0,3,0
76,ABS,6181Short,5,0,I think it's good to test what will work for customers to improve the website. The CEO will be able to find out which group has the most connections and can make his business better for his customers.,,R_2tvyeUtz41cEJEd,5,4,4,2,2,0,1,0,37,1,3,0,2,0,11,0
77,ABS,6181Short,4,0,If he thinks it would work I suppose there isn't any real harm in it.  Not telling anybody about it might be the worst part but I don't think it will really have any effect.,,R_1GWewX7OxXV6X6z,1,1,4,2,1,1,3,1,24,0,3,0,3,0,4,0
78,ABS,6181Short,2,1,"The CEO is not really matching people, he only thinks about his profits. That doesn't help people much.",,R_3ehlPH7tvBXZA9H,5,4,4,2,2,0,3,1,35,1,4,1,4,1,11,0
82,ABS,6181Short,2,1,I think that people want to be matched with like minded people on atleast the major fundamental values that they have.  Having this be an experiment is unethical.,,R_1E4ErxW3tVg0MOu,4,3,4,2,2,0,3,1,43,1,4,1,3,0,9,1
88,ABS,6181Short,4,0,I think he is trying to match people up that are somewhat alike. The members can still say no if they don't like the other persons profile.,,R_YaIduG8WlFYnwDT,5,5,2,4,2,0,3,1,44,1,3,0,3,0,14,1
10,xA,61to80,2,1,um depending on the percentage match i don't believe some of these instances would be appropriate.,,R_31B4DzdoqVTsfnS,2,1,4,2,1,1,3,1,21,0,3,0,6,1,5,0
14,xA,61to80,4,0,"I don't think there is anything wrong with suggestions as long as people can still search anyone.  Also, to be wholly appropriate, he would need to explain the methodology behind those suggestions.",,R_tPA9GHyXePpNgGZ,1,1,5,1,1,1,3,1,33,0,3,0,5,1,3,0
15,xA,61to80,2,1,"It isn't super horrible, but it isn't what the website states it offers. ""Opposites attract"" is just a saying, not a rule.",,R_1OTbkesBjJYzCGP,3,2,4,2,2,0,"2,3",0,35,1,3,0,1,0,7,0
21,xA,61to80,5,0,It's his site and he can use any algorithm he wants to match customers. People should realize that every dating site is going to use different sorts of systems to make a match.,,R_1hAc95MwSZLsH2u,3,1,5,1,2,0,1,0,35,1,4,1,3,0,5,0
25,xA,61to80,4,0,I thought the CEO's decision was somewhat appropriate because it is difficult to find someone that matches you 100% completely. I think setting it around 61-80% is the appropriate choice to find some that is somewhat similar and matches your opinion and taste.,,R_2rAdPhsf0U3vJFD,3,3,3,3,1,1,4,0,29,0,3,0,1,0,9,0
29,xA,61to80,5,0,Perfect matches will find something to be unhappy about or they will be clone people.  There has to be a little bit of spice and difference for a perfect relationship I would say 80 % match is a great number,,R_XHxjlG2qMDMUQtr,5,5,4,2,1,1,3,1,43,1,3,0,2,0,12,1
32,xA,61to80,1,1,Using the basis of opposite attracts is not always reliable. Other tactics should be executed.,,R_23UYWIVXVRNf8K9,4,4,2,4,1,1,3,1,24,0,3,0,3,0,12,0
34,xA,61to80,3,0,I'm not sure of the relevancy of matches to questions to how suitable a person is as a dating partner. This is why I think that it's not something that really should have an impact.,,R_xyH2IIk2Mp2p3W1,4,1,5,1,1,1,3,1,31,0,4,1,5,1,6,0
37,xA,61to80,3,0,I'm not sure if opposites attract. People with the same hobbies tend to agree more and spend more time together but men and female should have their own interests too.,,R_24cPUxTPkm18NVJ,3,2,5,1,1,1,3,1,28,0,4,1,3,0,6,0
42,xA,61to80,5,0,His job is to match people so why not. Opposites attract all the time so using that theory as a basis to get people together is very appropriate and just may work.,,R_3nSoYTM0hcQhgyp,5,2,5,1,1,1,1,0,43,1,4,1,4,1,8,0
44,xA,61to80,3,0,"this way of matching people based on likes and dislikes is really irrelevant to whether people will end up connecting or not, so any which way he wants to program it is as good as any other.",,R_2awoRnjXEB72DrH,1,4,5,1,1,1,3,1,36,1,3,0,3,0,6,0
51,xA,61to80,2,1,"Many people will be matched with a lot of the same people this way, why even suggest users if most everyone will be suggested to each other? Why even have questions?",,R_1IZ6XqDRtMNttOO,1,1,5,1,1,1,3,1,28,0,3,0,2,0,3,0
52,xA,61to80,4,0,the ceo decided to use a system to help people get more matches. His system matches people 60-80%,,R_2pMDDOptiaFwr3I,4,4,4,2,2,0,3,1,33,0,3,0,1,0,10,0
55,xA,61to80,4,0,Sometimes the saying opposites attract is true. This is somewhat true for my wife and me. I don't think its a bad idea by the CEO.,,R_241zmHQqA11X7qq,3,4,4,2,1,1,3,1,31,0,4,1,3,0,9,0
63,xA,61to80,3,0,its hard to decide either way. I can see both sides,,R_1GHLskvOKi8MOb0,3,3,3,3,1,1,3,1,26,0,2,0,2,0,9,0
67,xA,61to80,4,0,"I think its appropriate.  Dating is complicated, so pairing people with others who have similar but maybe not exactly the same interests could be a good idea.",,R_3oRydFuIwfcHxih,1,2,3,3,1,1,3,1,39,1,2,0,2,0,6,0
70,xA,61to80,4,0,I think that CEO has done research.  It is a good percent to start with.,,R_2VybMtegFAmlmkj,5,4,4,2,2,0,1,0,56,1,4,1,3,0,11,0
72,xA,61to80,1,1,People with significantly different personalities aren't likely to get along well; it's a stupid idea.,,R_12JbFsGpw5Zr0zL,1,2,4,2,1,1,3,1,46,1,4,1,2,0,5,0
81,xA,61to80,5,0,"If people are paying for a dating service, they're opting in to someone's idea of how dating might work. This is no different.",,R_qO5fHQgswxkTVJv,1,1,5,1,3,0,3,1,31,0,4,1,1,0,3,0
85,xA,61to80,2,1,He is being a bit risky and trying to manipulate the results for a higher profit.,,R_1F50sGhvub2da3C,5,4,3,3,2,0,3,1,38,1,3,0,4,1,12,0
86,xA,61to80,2,1,I would expect that people sign up for these dating sites to find people who share many of the same ideals and morals. If they only match 61-80% then they wouldn't have that much in common.,,R_3MzgVXX12fRBxw5,3,2,4,2,1,1,3,1,52,1,3,0,4,1,7,0
23,xB,81to100,5,0,"I choose this answer, because it seems very realistic. If someone is a 81-100% match, most chances are they have a lot in common and would make a great couple.",,R_25TlwKtpFvCdtw1,5,4,4,2,1,1,3,1,26,0,3,0,2,0,11,0
27,xB,81to100,4,0,"Not every match is going to be a perfect 100%. I think if you mostly match, that's a good starting point.",,R_1JPWZ9HfjvcUWsu,4,4,4,2,2,0,"2,3",0,45,1,4,1,6,1,10,0
28,xB,81to100,4,0,"I think theres a certain logic to it. It would depend more on what kind of questions are asked, sure, but I think its important for relationship compatibility that you and your partner can agree on many things.",,R_cMcWdPum8HMRsZz,1,1,4,2,1,1,3,1,27,0,2,0,2,0,4,0
31,xB,81to100,4,0,if they match responses at least 81% that should be a good indicator that they are compatible.,,R_bvkE3GI1mzQenqV,4,2,5,1,2,0,1,0,37,1,3,0,4,1,7,0
35,xB,81to100,5,0,"It would suggest matches to them, meaning they are still free to view anyone they want, however, this tool will just help them in their search.  It will show them potential matches that enjoy and dislike the same things as they do, and I think that is very appropriate material to base a match on.",,R_u8Rekpmpwj18kxj,1,1,4,2,2,0,3,1,25,0,3,0,3,0,4,0
40,xB,81to100,2,1,I think that it is a little inappropriate to give out contact information without knowing that they are a match first.,,R_3D7sTfKtOpa1Ry1,4,4,4,2,2,0,3,1,29,0,3,0,4,1,10,0
41,xB,81to100,1,1,I think it's a very good idea. The customers would receive suggestions for people who think alike or have similar tastes. It would narrow the selection process down quite a bit.,,R_3k4Z0hIGvD8FSrU,4,2,4,2,2,0,3,1,56,1,2,0,2,0,8,0
43,xB,81to100,4,0,There is a logic to it. It provides personalized relevant recommendations.,,R_qDvRoFqp2iEuwuZ,1,1,5,1,1,1,3,1,27,0,6,1,4,1,3,0
49,xB,81to100,2,1,The whole idea of a dating site is to find someone that you are compatible with.  I would think this would help narrow it down some by matching people that more than likely have many aspects in common.,,R_z0TKflkROmGM23L,5,4,3,3,2,0,3,1,49,1,3,0,1,0,12,0
56,xB,81to100,4,0,It would make sense to show people profiles of others that share a lot of similar interests.,,R_1Q4boVkxT6aNoDv,1,1,5,1,1,1,3,1,33,0,3,0,2,0,3,0
58,xB,81to100,4,0,The point of a dating webstie is to match people.,,R_2dGzD7SwHdvp1aQ,5,2,4,2,1,1,3,1,54,1,4,1,4,1,9,0
60,xB,81to100,5,0,The whole point of the dating site is to hook people up together.  Without this sort of matching it is just a blind search.,,R_2bN16zJ7zoJnAyY,3,1,5,1,1,1,3,1,33,0,3,0,4,1,5,0
62,xB,81to100,3,0,I can see the ceos decision. It is impossible to make a choice one way or another.,,R_3Dwhx9Hwaakc6Hg,3,3,3,3,1,1,3,1,26,0,3,0,2,0,9,0
68,xB,81to100,5,0,THAT PERCENTAGE IS HIGH ENOUGH FOR PEOPLE TO HAVE COMMON GROUND BUT TO BE EXCLUSIVE TO EACH OTHER,,R_PMvXP6JdjUUmxQB,3,1,5,1,2,0,4,0,23,0,4,1,3,0,5,0
71,xB,81to100,4,0,I think that having 80 percent of same answers means they are very similar. Usually people with similar interests get along the best.,,R_1OozllJzVzmyovN,1,1,5,1,2,0,3,1,36,1,2,0,2,0,3,0
79,xB,81to100,1,1,"I don't believe in opposites attract, well maybe they attract but I don't feel they work out. Although it is close to impossible to be exactly alike the closer the better so I think 81-100% is fair.",,R_Thiv8G5UPSn8g3D,3,3,5,1,2,0,3,1,41,1,2,0,2,0,7,0
80,xB,81to100,4,0,"I chose somewhat appropriate because even though he's suggesting it, people might not like it. I think if they wanted help they would ask for it.",,R_12zFMlwxB2UIquZ,1,1,5,1,1,1,3,1,34,1,3,0,3,0,3,1
83,xB,81to100,4,0,seem like a good way to suggest coupling.  similar answers mean they have a similar mindset.,,R_yW6A8Ydlsc0siNb,3,3,4,2,2,0,2,0,42,1,4,1,4,1,8,0
89,xB,81to100,5,0,"It's a good starting off point for users. Having things in common is a good place to start and a high degree of answering questions similarly is a good way to go about it. These are just suggestions as well and other matches sound like they are still available. As long as this is a starting off point and not just limited to this, it's a great idea.",,R_3rHQ0MobbUl5osi,4,2,3,3,2,0,1,0,38,1,6,1,5,1,9,0
91,xB,81to100,4,0,I feel his method helps to improve the website. I think it is the right approach for a dating service.,,R_33gmwCxw1B0cmpl,1,1,5,1,1,1,3,1,28,0,3,0,2,0,3,0
